"filename", "language", "TOML", "Rust", "todo", "Markdown", "comment", "blank", "total"
"c:\Users\ilike\Projects\Rust\game_2\TODO.todo", "todo", 0, 0, 2, 0, 0, 0, 2
"c:\Users\ilike\Projects\Rust\game_2\cargo.toml", "TOML", 7, 0, 0, 0, 0, 1, 8
"c:\Users\ilike\Projects\Rust\game_2\rssheader.md", "Markdown", 0, 0, 0, 58, 0, 23, 81
"c:\Users\ilike\Projects\Rust\game_2\rustfmt.toml", "TOML", 2, 0, 0, 0, 0, 0, 2
"c:\Users\ilike\Projects\Rust\game_2\src\component\accessible.rs", "Rust", 0, 172, 0, 0, 24, 2, 198
"c:\Users\ilike\Projects\Rust\game_2\src\component\init.rs", "Rust", 0, 115, 0, 0, 19, 5, 139
"c:\Users\ilike\Projects\Rust\game_2\src\component\mod.rs", "Rust", 0, 228, 0, 0, 5, 2, 235
"c:\Users\ilike\Projects\Rust\game_2\src\component\recipe.rs", "Rust", 0, 151, 0, 0, 9, 4, 164
"c:\Users\ilike\Projects\Rust\game_2\src\constants.rs", "Rust", 0, 3, 0, 0, 1, 1, 5
"c:\Users\ilike\Projects\Rust\game_2\src\extra_bits.rs", "Rust", 0, 20, 0, 0, 0, 1, 21
"c:\Users\ilike\Projects\Rust\game_2\src\file.rs", "Rust", 0, 42, 0, 0, 1, 4, 47
"c:\Users\ilike\Projects\Rust\game_2\src\init.rs", "Rust", 0, 153, 0, 0, 2, 1, 156
"c:\Users\ilike\Projects\Rust\game_2\src\instr\condition.rs", "Rust", 0, 19, 0, 0, 1, 1, 21
"c:\Users\ilike\Projects\Rust\game_2\src\instr\mod.rs", "Rust", 0, 525, 0, 0, 86, 4, 615
"c:\Users\ilike\Projects\Rust\game_2\src\location.rs", "Rust", 0, 29, 0, 0, 0, 1, 30
"c:\Users\ilike\Projects\Rust\game_2\src\main.rs", "Rust", 0, 28, 0, 0, 0, 3, 31
"c:\Users\ilike\Projects\Rust\game_2\src\object\component.rs", "Rust", 0, 119, 0, 0, 14, 2, 135
"c:\Users\ilike\Projects\Rust\game_2\src\object\display.rs", "Rust", 0, 18, 0, 0, 0, 2, 20
"c:\Users\ilike\Projects\Rust\game_2\src\object\mod.rs", "Rust", 0, 52, 0, 0, 0, 1, 53
"c:\Users\ilike\Projects\Rust\game_2\src\object\tick.rs", "Rust", 0, 80, 0, 0, 7, 5, 92
"c:\Users\ilike\Projects\Rust\game_2\src\resources\constants.rs", "Rust", 0, 20, 0, 0, 2, 2, 24
"c:\Users\ilike\Projects\Rust\game_2\src\resources\dict.rs", "Rust", 0, 31, 0, 0, 0, 1, 32
"c:\Users\ilike\Projects\Rust\game_2\src\resources\mod.rs", "Rust", 0, 284, 0, 0, 19, 4, 307
"c:\Users\ilike\Projects\Rust\game_2\src\shape.rs", "Rust", 0, 42, 0, 0, 0, 3, 45
"c:\Users\ilike\Projects\Rust\game_2\src\system\mod.rs", "Rust", 0, 85, 0, 0, 2, 2, 89
"c:\Users\ilike\Projects\Rust\game_2\src\systems\mod.rs", "Rust", 0, 95, 0, 0, 2, 1, 98
"c:\Users\ilike\Projects\Rust\game_2\src\systems\object_id.rs", "Rust", 0, 12, 0, 0, 0, 1, 13
"c:\Users\ilike\Projects\Rust\game_2\src\systems\system_id.rs", "Rust", 0, 12, 0, 0, 0, 1, 13
"c:\Users\ilike\Projects\Rust\game_2\src\systems\tick.rs", "Rust", 0, 21, 0, 0, 0, 1, 22
"c:\Users\ilike\Projects\Rust\game_2\src\ui\ansi.rs", "Rust", 0, 25, 0, 0, 2, 7, 34
"c:\Users\ilike\Projects\Rust\game_2\src\ui\component.rs", "Rust", 0, 86, 0, 0, 7, 3, 96
"c:\Users\ilike\Projects\Rust\game_2\src\ui\condition.rs", "Rust", 0, 4, 0, 0, 0, 2, 6
"c:\Users\ilike\Projects\Rust\game_2\src\ui\instr.rs", "Rust", 0, 477, 0, 0, 10, 3, 490
"c:\Users\ilike\Projects\Rust\game_2\src\ui\io.rs", "Rust", 0, 97, 0, 0, 16, 3, 116
"c:\Users\ilike\Projects\Rust\game_2\src\ui\location.rs", "Rust", 0, 13, 0, 0, 0, 3, 16
"c:\Users\ilike\Projects\Rust\game_2\src\ui\mod.rs", "Rust", 0, 29, 0, 0, 0, 1, 30
"c:\Users\ilike\Projects\Rust\game_2\src\ui\object.rs", "Rust", 0, 144, 0, 0, 2, 2, 148
"c:\Users\ilike\Projects\Rust\game_2\src\ui\quickie.rs", "Rust", 0, 86, 0, 0, 6, 3, 95
"c:\Users\ilike\Projects\Rust\game_2\src\ui\rand.rs", "Rust", 0, 8, 0, 0, 3, 1, 12
"c:\Users\ilike\Projects\Rust\game_2\src\ui\recipe.rs", "Rust", 0, 78, 0, 0, 0, 4, 82
"c:\Users\ilike\Projects\Rust\game_2\src\ui\resources.rs", "Rust", 0, 59, 0, 0, 1, 2, 62
"c:\Users\ilike\Projects\Rust\game_2\src\ui\system.rs", "Rust", 0, 78, 0, 0, 0, 2, 80
"Total", "-", 9, 3540, 2, 58, 241, 115, 3965
